code_complexity_cyclomatic,development_time_months,team_size,programming_language,developer_experience_avg_years,code_review_coverage,testing_coverage_percent,project_type,requirements_volatility,version_control_usage,continuous_integration,documentation_quality,customer_involvement,budget_constraints,defect_density_per_kloc
43.42654639,19.34220217,4,Python,5.360671643,75.13991634,,Enterprise,Low,Expert,None,Poor,Medium,Moderate,9.010645023
20.37585541,,14,C++,8.539208392,17.32934617,91.35497404,Embedded,Low,Advanced,,Excellent,Medium,Moderate,
4.95442385,10.33873764,17,JavaScript,14.74392399,93.77472694,55.05436615,Desktop,Medium,Basic,Basic,,High,Severe,5.672287111
45.42717367,17.86122807,6,,2.343607569,29.48704832,,Embedded,Low,Expert,None,Poor,High,Severe,
15.51401688,4.892647988,20,C#,10.39784437,0.176904746,60.55139741,Embedded,Medium,Expert,None,Fair,,Severe,4.664320037
13.98550376,5.387823868,9,Java,10.70919696,30.83382031,,Enterprise,Low,Basic,,Poor,Medium,None,3.069820518
20.68638842,7.540966828,12,C++,6.571964,60.53358202,92.77774438,Enterprise,High,Advanced,Basic,Fair,High,Moderate,2.874136882
32.72117056,30.61817528,10,C++,5.443948401,40.0293373,91.52957346,Embedded,Medium,Expert,Advanced,Poor,High,Moderate,4.583722316
45.15985502,13.60292433,22,C#,4.542332759,71.05500472,73.40638917,Mobile,Low,Expert,None,Excellent,Medium,Severe,5.169505321
25.90119387,26.78604697,17,C++,6.627820776,59.44750048,85.22676036,Enterprise,Medium,Advanced,Basic,Good,Medium,Severe,9.048403712
15.52378473,20.28131665,11,C#,1.166138019,34.45916052,71.80386459,Desktop,Low,Expert,Basic,Poor,Medium,None,7.078603217
2.727637045,19.03672709,7,C++,2.469950259,66.42415235,94.19147454,Desktop,Medium,Advanced,Advanced,Good,High,Severe,7.219701671
14.559717,22.6945946,20,C++,6.02657848,97.13275902,51.68786375,Embedded,Medium,Advanced,,Good,Medium,Moderate,7.186026715
38.27704094,21.74448813,19,C#,9.259059678,49.45692638,65.98503112,Web App,Low,Advanced,Basic,Poor,Medium,Severe,9.503894334
19.05783258,30.84021745,4,JavaScript,10.30221831,55.2014495,60.87037105,Mobile,High,Expert,Basic,Excellent,High,Moderate,5.206993032
16.19851913,30.47162423,29,Python,10.24905005,20.43266238,,Enterprise,High,Basic,Advanced,Poor,Medium,None,
25.20017994,24.66462493,10,C++,1.111225814,59.68723087,75.71695157,Mobile,High,,Basic,Fair,High,Severe,7.763557377
9.910696144,24.6433382,20,JavaScript,3.132420884,99.54309303,78.13062502,Enterprise,Low,Basic,None,Excellent,High,Moderate,6.958219131
